ticker,name,exchange,board,status,is_active,is_common_stock,source
0700,Tencent,HKEX,main_board,normal,True,True,seed_file
9988,Alibaba-W,HKEX,main_board,normal,True,True,seed_file
09618,JD.com,HKEX,main_board,normal,True,True,seed_file
1810,Xiaomi,HKEX,main_board,normal,True,True,seed_file
0005,HSBC Holdings,HKEX,main_board,normal,True,True,seed_file
0388,HKEX,HKEX,main_board,normal,True,True,seed_file
0941,China Mobile,HKEX,main_board,normal,True,True,seed_file
0883,CNOOC,HKEX,main_board,normal,True,True,seed_file
0001,CK Hutchison,HKEX,main_board,normal,True,True,seed_file
2318,Ping An,HKEX,main_board,normal,True,True,seed_file
2388,BOC Hong Kong,HKEX,main_board,normal,True,True,seed_file
1109,China Resources Land,HKEX,main_board,normal,True,True,seed_file
0688,China Overseas,HKEX,main_board,normal,True,True,seed_file
0762,China Unicom,HKEX,main_board,normal,True,True,seed_file
0823,Link REIT,HKEX,main_board,normal,True,True,seed_file
1928,Sands China,HKEX,main_board,normal,True,True,seed_file
2015,Li Auto,HKEX,main_board,normal,True,True,seed_file
1299,AIA,HKEX,main_board,normal,True,True,seed_file
3988,Bank of China,HKEX,main_board,normal,True,True,seed_file
3690,Meituan,HKEX,main_board,normal,True,True,seed_file
1211,BYD,HKEX,main_board,normal,True,True,seed_file
9888,Baidu,HKEX,main_board,normal,True,True,seed_file
9999,NetEase,HKEX,main_board,normal,True,True,seed_file
6618,JD Health,HKEX,main_board,normal,True,True,seed_file
1024,Kuaishou,HKEX,main_board,normal,True,True,seed_file
1093,CSPC Pharma,HKEX,main_board,normal,True,True,seed_file
1177,Sino Biopharm,HKEX,main_board,normal,True,True,seed_file
2269,WuXi Biologics,HKEX,main_board,normal,True,True,seed_file
0960,Longfor Group,HKEX,main_board,normal,True,True,seed_file
0002,CLP Holdings,HKEX,main_board,normal,True,True,seed_file
0016,Sun Hung Kai,HKEX,main_board,normal,True,True,seed_file
0011,Hang Seng Bank,HKEX,main_board,normal,True,True,seed_file
0267,Citic,HKEX,main_board,normal,True,True,seed_file
0291,China Resources Beer,HKEX,main_board,normal,True,True,seed_file
0686,Beijing Energy,HKEX,main_board,normal,True,True,seed_file
1038,CK Infrastructure,HKEX,main_board,normal,True,True,seed_file
0175,Geely Auto,HKEX,main_board,normal,True,True,seed_file
0285,BYD Electronic,HKEX,main_board,normal,True,True,seed_file
2319,Mengniu Dairy,HKEX,main_board,normal,True,True,seed_file
2007,Country Garden Services,HKEX,main_board,normal,True,True,seed_file
1113,CK Asset,HKEX,main_board,normal,True,True,seed_file
1209,China Resources Mixc,HKEX,main_board,normal,True,True,seed_file
3328,Bank of Communications,HKEX,main_board,normal,True,True,seed_file
3968,China Merchants Bank,HKEX,main_board,normal,True,True,seed_file
9633,Nongfu Spring,HKEX,main_board,normal,True,True,seed_file
6862,Haidilao,HKEX,main_board,normal,True,True,seed_file
9618,JD Logistics,HKEX,main_board,normal,True,True,seed_file
6690,Haitian International,HKEX,main_board,normal,True,True,seed_file
3888,Kingsoft,HKEX,main_board,normal,True,True,seed_file
0144,China Merchants Port,HKEX,main_board,normal,True,True,seed_file
0012,Henderson Land,HKEX,main_board,normal,True,True,seed_file
0066,MTR Corporation,HKEX,main_board,normal,True,True,seed_file
0083,Sino Land,HKEX,main_board,normal,True,True,seed_file
0101,Hang Lung Properties,HKEX,main_board,normal,True,True,seed_file
0177,Jiangsu Expressway,HKEX,main_board,normal,True,True,seed_file
0268,Kingdee International,HKEX,main_board,normal,True,True,seed_file
0270,Guangdong Investment,HKEX,main_board,normal,True,True,seed_file
0316,Orient Overseas Intl,HKEX,main_board,normal,True,True,seed_file
0386,Sinopec Corp,HKEX,main_board,normal,True,True,seed_file
0522,ASMPT,HKEX,main_board,normal,True,True,seed_file
0551,Yue Yuen Industrial,HKEX,main_board,normal,True,True,seed_file
0669,Techtronic Industries,HKEX,main_board,normal,True,True,seed_file
0683,Kerry Properties,HKEX,main_board,normal,True,True,seed_file
0763,ZTE HK,HKEX,main_board,normal,True,True,seed_file
0857,PetroChina HK,HKEX,main_board,normal,True,True,seed_file
0914,Anhui Conch Cement,HKEX,main_board,normal,True,True,seed_file
0968,Xinyi Solar,HKEX,main_board,normal,True,True,seed_file
0981,SMIC,HKEX,main_board,normal,True,True,seed_file
1033,Sinopec SSC,HKEX,main_board,normal,True,True,seed_file
1044,Hengan Intl,HKEX,main_board,normal,True,True,seed_file
1088,China Shenhua HK,HKEX,main_board,normal,True,True,seed_file
1114,Brilliance China,HKEX,main_board,normal,True,True,seed_file
1211,BYD Company,HKEX,main_board,normal,True,True,seed_file
1336,New China Life,HKEX,main_board,normal,True,True,seed_file
1378,China Hongqiao,HKEX,main_board,normal,True,True,seed_file
1398,ICBC HK,HKEX,main_board,normal,True,True,seed_file
1772,Ganfeng Lithium HK,HKEX,main_board,normal,True,True,seed_file
1876,Budweiser APAC,HKEX,main_board,normal,True,True,seed_file
1997,Wharf REIC,HKEX,main_board,normal,True,True,seed_file
2020,ANTA Sports,HKEX,main_board,normal,True,True,seed_file
2313,Shenzhou Intl,HKEX,main_board,normal,True,True,seed_file
2331,Li Ning,HKEX,main_board,normal,True,True,seed_file
2382,Sunny Optical,HKEX,main_board,normal,True,True,seed_file
2601,China Pacific Insurance HK,HKEX,main_board,normal,True,True,seed_file
2628,China Life HK,HKEX,main_board,normal,True,True,seed_file
2899,Zijin Mining HK,HKEX,main_board,normal,True,True,seed_file
